ID,Name,Title,Father_ID,Mother_ID,Spouse_ID,Brother_ID,Sister_ID,Son_ID,Daughter_ID,,,,,
196,Alice,Princess of Great Britain,199,191,197,"198,202,204,205","193,200,203,206",None,None,,,,,
197,Ludvig IV of Hesse,Grand Duke of Hesse,None,None,196,None,None,None,None,,,,,
198,Alfred,Duke of Edinburgh,199,191,None,"202,204,205","193,196,200,203,206",None,None,,,,,
199,Albert of Saxe-Coburg Gotha,King Consort of Great Britain,None,None,191,None,None,"198,202,204,205","193,196,200,203,206",,,,,
200,Helena,Duchess of Schleswig-Holstein,199,191,201,"198,202,204,205","193,196,203,206",None,None,,,,,
201,Christian,Duke of Schleswig-Holstein,None,None,200,None,None,None,None,,,,,
202,Edward VII,King of Great Britain,199,191,207,"198,204,205","193,196,200,203,206","208,209,214","210,211,212",,,,,
203,Louise,Princess of Great Britain,199,191,None,"198,202,204,205","193,196,200,206",None,None,,,,,
204,Arthur,Duke of Connaught,199,191,None,"198,202,205","193,196,200,203,206",None,None,,,,,
205,Leopold ,Duke of Albany,199,191,None,"198,202,204","193,196,200,203,206",None,None,,,,,
206,Beatrice,Princess of Great Britain,199,191,215,"198,202,204,205","193,196,200,203",None,None,,,,,
207,Alexandra of Denmark,Queen Consort of Great Britain,None,None,202,None,None,"208,209,214","210,211,212",,,,,
208,George V,King of Great Britain,202,207,216,"209,214","210,211,212","217,218,221,222,223",220,,,,,
209,Albert,Duke of Clarence,202,207,None,"208,214","210,211,212",None,None,,,,,
210,Louise,Princess of Great Britain,202,207,None,"208,209,214","211,212",None,None,,,,,
211,Victoria,Princess of Great Britain,202,207,None,"208,209,214","210,212",None,None,,,,,
212,Maud,Queen Consort of Norway,202,207,213,"208,209,214","210,211",None,None,,,,,
213,Haakon VII,King of Norway,None,None,212,None,None,None,None,,,,,
214,John,Prince of Great Britain,202,207,None,"208,209","210,211,212",None,None,,,,,
215,Henry of Battenberg,None,None,None,206,None,None,None,None,,,,,
216,Mary of Teck,Queen Consort of Great Britain,None,None,208,None,None,"217,218,221,222,223",220,,,,,
217,Edward VIII,King of Great Britain,208,216,None,"218,221,222,223",220,None,None,,,,,
218,George VI,King of Great Britain,208,216,219,"217,221,222,223",220,None,"227,228",,,,,
219,Elizabeth Bowes-Lyon,Queen Consort of Great Britain,None,None,218,None,None,None,"227,228",,,,,
220,Mary,Princess Royal ,208,216,224,"217,218,221,222,223",220,None,None,,,,,
221,Henry,Duke of Gloucester,208,216,225,"217,218,222,223",220,229,None,,,,,
222,George,Duke of Kent,208,216,226,"217,218,221,223",220,"230,231",None,,,,,
223,John,Prince of Great Britain,208,216,None,"217,218,221,222",220,None,None,,,,,
224,Henry Lascelles,Earl of Harewood,None,None,220,None,None,None,None,,,,,
225,Alice Montague,Duchess of Gloucester,None,None,221,None,None,229,None,,,,,
226,Marina,Duchess of Kent,None,None,222,None,None,"230,231",None,,,,,
227,Elizabeth II,Queen of Great Britain,218,219,233,None,228,"234,236,237",235,,,,,
228,Margaret ,Prince of Great Britain,218,219,None,None,227,None,None,,,,,
229,Richard,Duke of Gloucester,221,225,None,None,None,None,None,,,,,
230,Edward,Duke of Kent,222,226,None,231,None,None,None,,,,,
231,Michael,Duke of Kent,222,226,232,230,None,None,None,,,,,
232,Alexandra of Kent,Princess of Great Britain,None,None,231,None,None,None,None,,,,,
233,Prince Philip,Duke of Edinburgh,None,None,227,None,None,"234,236,237",235,,,,,
234,Charles,Prince of Wales,227,233,"238,239","236,237",235,"244,246",None,,,,,
235,Anne,Princess Royal ,227,233,"240,241","234,236,237",None,250,251,,,,,
236,Andrew,Duke of York,227,233,242,"234,237",235,None,"248,249",,,,,
237,Edward,Earl of Wessex,227,233,243,"234,236",235,264,263,,,,,
238,Diana,Princess of Wales,None,None,234,None,None,"244,246",None,,,,,
239,Camilia,Duchess of Cornwall,None,None,234,None,None,None,None,,,,,
240,Mark Philips,None,None,None,235,None,None,250,251,,,,,
241,Timothy Lawrence,None,None,None,235,None,None,None,None,,,,,
242,Sarah,Duchess of York,None,None,236,None,None,None,"248,249",,,,,
243,Sophie,Countess of Wessex,None,None,237,None,None,264,263,,,,,
244,William,Duke of Cambridge,234,238,245,246,None,"258,260",259,,,,,
245,Katherine,Duchess of Cambridge,None,None,244,None,None,"258,260",259,,,,,
